   UID   PID  PPID   C STIME   TTY           TIME CMD
    0     1     0   0 чт05  ??         1:19.53 /sbin/launchd
    0    73     1   0 чт05  ??         0:03.54 /usr/sbin/syslogd
    0    74     1   0 чт05  ??         0:06.17 /usr/libexec/UserEventAgent (System)
    0    78     1   0 чт05  ??         0:01.16 /System/Library/PrivateFrameworks/Uninstall.framework/Resources/uninstalld
    0    79     1   0 чт05  ??         0:29.91 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
    0    80     1   0 чт05  ??         0:01.16 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
    0    84     1   0 чт05  ??         0:22.91 /usr/sbin/systemstats --daemon
    0    86     1   0 чт05  ??         0:11.13 /usr/libexec/configd
    0    87     1   0 чт05  ??         0:00.01 endpointsecurityd
    0    88     1   0 чт05  ??         0:10.12 /System/Library/CoreServices/powerd.bundle/powerd
    0    91     1   0 чт05  ??         0:00.13 /usr/libexec/remoted
    0    93     1   0 чт05  ??         0:28.42 /usr/libexec/logd
    0    94     1   0 чт05  ??         0:03.96 /usr/libexec/keybagd -t 15
  200    97     1   0 чт05  ??         0:00.22 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Support/softwareupdated
    0    99     1   0 чт05  ??         0:01.30 /usr/libexec/watchdogd
  240   104     1   0 чт05  ??         0:00.13 /System/Library/CoreServices/iconservicesd
    0   105     1   0 чт05  ??         0:03.39 /usr/libexec/kernelmanagerd
    0   106     1   0 чт05  ??         0:18.99 /usr/libexec/diskarbitrationd
    0   108     1   0 чт05  ??         0:00.15 /Library/PrivilegedHelperTools/com.wacom.UpdateHelper.app/Contents/MacOS/com.wacom.UpdateHelper
    0   110     1   0 чт05  ??         0:04.86 /usr/libexec/coreduetd
    0   114     1   0 чт05  ??         0:00.03 /usr/libexec/thermalmonitord
    0   115     1   0 чт05  ??         0:23.03 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
    0   116     1   0 чт05  ??         0:18.67 /usr/libexec/opendirectoryd
    0   117     1   0 чт05  ??         0:06.59 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
    0   118     1   0 чт05  ??         0:11.11 /System/Library/CoreServices/launchservicesd
  266   119     1   0 чт05  ??         0:00.66 /usr/libexec/timed
    0   121     1   0 чт05  ??         0:03.73 /usr/sbin/securityd -i
    0   122     1   0 чт05  ??         0:00.01 auditd -l
    0   126     1   0 чт05  ??         0:00.02 autofsd
  244   127     1   0 чт05  ??         0:00.15 /usr/libexec/displaypolicyd -k 1
    0   128     1   0 чт05  ??         0:24.70 /usr/libexec/dasd
    0   129     1   0 чт05  ??         0:00.22 /System/Library/PrivateFrameworks/Heimdal.framework/Helpers/kdc
  241   131     1   0 чт05  ??         0:01.27 /usr/sbin/distnoted daemon
    0   132     1   0 чт05  ??         0:00.07 /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon
   74   135     1   0 чт05  ??         1:16.99 /usr/local/mysql/bin/mysqld --user=_mysql --basedir=/usr/local/mysql --datadir=/usr/local/mysql/data --plugin-dir=/usr/local/mysql/lib/plugin --log-error=/usr/local/mysql/data/mysqld.local.err --pid-file=/usr/local/mysql/data/mysqld.local.pid --keyring-file-data=/usr/local/mysql/keyring/keyring --early-plugin-load=keyring_file=keyring_file.so
    0   136     1   0 чт05  ??         0:00.15 /System/Library/CoreServices/logind
    0   137     1   0 чт05  ??         0:00.99 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
    0   138     1   0 чт05  ??         0:00.02 /usr/sbin/KernelEventAgent
    0   140     1   0 чт05  ??         0:37.44 /usr/sbin/bluetoothd
    0   141     1   0 чт05  ??         0:08.73 /usr/sbin/notifyd
    0   143     1   0 чт05  ??         0:02.18 /usr/libexec/corebrightnessd --launchd
    0   144     1   0 чт05  ??         0:39.76 /usr/libexec/AirPlayXPCHelper
    0   145     1   0 чт05  ??         0:17.99 /usr/sbin/cfprefsd daemon
    0   146     1   0 чт05  ??         0:11.97 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd system
    0   147     1   0 чт05  ??         0:00.25 aslmanager
    0   148     1   0 чт05  ??         0:01.24 /System/Library/CoreServices/coreservicesd
   88   150     1   0 чт05  ??        24:12.32 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
  263   153     1   0 чт05  ??         0:11.15 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
    0   156     1   0 чт05  ??         0:05.54 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd-helper -launchd
    0   157     1   0 чт05  ??         0:00.14 /usr/libexec/PowerUIAgent
    0   161     1   0 чт05  ??         0:01.16 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
    0   206     1   0 чт05  ??         0:00.16 /usr/sbin/distnoted agent
  282   207     1   0 чт05  ??         0:55.49 /usr/libexec/trustd
    0   208     1   0 чт05  ??         0:03.49 /usr/libexec/amfid
  202   209     1   0 чт05  ??        19:54.28 /usr/sbin/coreaudiod
    0   211     1   0 чт05  ??         0:03.72 /usr/libexec/lsd runAsRoot
    0   212     1   0 чт05  ??        10:55.77 /usr/libexec/syspolicyd
   65   213     1   0 чт05  ??         0:12.68 /usr/sbin/mDNSResponder
    0   214     1   0 чт05  ??         0:00.47 /usr/libexec/searchpartyd
    0   215     1   0 чт05  ??         0:00.06 /System/Library/CryptoTokenKit/com.apple.ifdreader.slotd/Contents/MacOS/com.apple.ifdreader
    0   216     1   0 чт05  ??         0:00.13 /usr/libexec/apfsd
    0   217     1   0 чт05  ??         1:49.36 /usr/libexec/airportd
    0   218     1   0 чт05  ??         0:04.09 /usr/libexec/usbd
  242   219     1   0 чт05  ??         0:04.65 /usr/libexec/nsurlsessiond --privileged
    0   220     1   0 чт05  ??         0:00.99 /usr/libexec/nehelper
    0   222     1   0 чт05  ??         0:24.57 /usr/libexec/runningboardd
  202   225     1   0 чт05  ??         0:00.14 /usr/sbin/distnoted agent
    0   226     1   0 чт05  ??         0:01.70 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
    0   233     1   0 чт05  ??         0:02.24 /usr/sbin/mDNSResponderHelper
   24   234     1   0 чт05  ??         0:10.10 /usr/libexec/symptomsd
    0   235     1   0 чт05  ??         0:00.19 /usr/libexec/findmydeviced
    0   255     1   0 чт05  ??         0:00.28 /usr/libexec/logd_helper
    0   260     1   0 чт05  ??         0:00.29 /usr/libexec/diskmanagementd
    0   261     1   0 чт05  ??         0:01.53 /usr/libexec/nesessionmanager
  205   262     1   0 чт05  ??         0:00.16 /usr/sbin/distnoted agent
  205   263     1   0 чт05  ??         0:02.53 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  205   264     1   0 чт05  ??         0:00.11 /usr/libexec/secinitd
  205   265     1   0 чт05  ??         0:00.03 /usr/sbin/cfprefsd agent
    0   266     1   0 чт05  ??         0:00.15 /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
  205   267     1   0 чт05  ??         0:00.41 /usr/libexec/trustd --agent
  205   269     1   0 чт05  ??         0:00.13 /usr/libexec/containermanagerd --runmode=agent --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
  202   271     1   0 чт05  ??         0:01.26 Core Audio Driver (Omi Mirror Audio Driver.driver)
fg    0   273     1   0 чт05  ??         0:00.83 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
    0   274     1   0 чт05  ??         0:00.10 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar -daemon
  202   275     1   0 чт05  ??         0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
    0   276     1   0 чт05  ??         0:00.03 /usr/libexec/smd
  202   277     1   0 чт05  ??         0:00.02 /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
    0   278     1   0 чт05  ??         1:02.22 /usr/libexec/mobileassetd
    0   280     1   0 чт05  ??         0:00.01 /System/Library/PrivateFrameworks/FindMyMac.framework/Resources/FindMyMacd
    0   289     1   0 чт05  ??         0:00.09 /usr/libexec/thermald
    0   290     1   0 чт05  ??         0:00.74 /usr/libexec/containermanagerd --runmode=agent --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
    0   292     1   0 чт05  ??         0:00.19 /System/Library/PrivateFrameworks/SiriInference.framework/Support/siriinferenced
   89   298     1   0 чт05  ??         0:00.17 /usr/sbin/distnoted agent
    0   299     1   0 чт05  ??         0:04.50 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
    0   301     1   0 чт05  ??         0:20.40 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd
    0   302     1   0 чт05  ??         0:00.47 /usr/libexec/secinitd
  200   303     1   0 чт05  ??         0:29.85 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  200   304     1   0 чт05  ??         0:00.11 /usr/sbin/distnoted agent
    0   305     1   0 чт05  ??         0:00.14 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
